sku_id,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
850,Munchies,Everest Tandoori Chicken Masala,3900,2,5,3800,50,FALSE,50
851,Munchies,Weikfield Falooda Mix - Kesar Pista,4900,2,3,4800,200,FALSE,200
852,Munchies,Weikfield Cocoa Powder,7000,7,6,6500,50,FALSE,50
853,Munchies,Pantai Coconut Cream,15000,4,4,14300,400,FALSE,400
854,Munchies,Popular Essentials Coriander Seeds,1500,0,5,1500,50,FALSE,50
855,Munchies,Ching's Singapore Curry Instant Noodles,6000,0,4,6000,240,FALSE,240
856,Munchies,Eastern Fish Masala,4800,2,5,4700,100,FALSE,100
857,Munchies,Pillsbury Atta/Godihittu - Chakki Fresh,27500,0,6,27500,5000,FALSE,5
858,Munchies,"Oleev Smart Oil Fortified with VIT A, D, E & K (Pouch)",21500,9,4,19400,1000,FALSE,1
859,Munchies,Everest Dry Ginger Powder,7500,9,4,6800,100,FALSE,100
860,Munchies,Pillsbury Cooker Cake Mix - Choco,10000,11,6,8900,159,FALSE,159
861,Munchies,Hersheys Chocolate Almond Syrup,20000,0,2,20000,450,FALSE,450
862,Munchies,Satyam Nighties Spices  Chilli Pandi,5600,7,5,5200,100,FALSE,100
863,Munchies,Popular Essentials Popular Essential Pista Salted (With Shell),19000,10,6,17100,100,FALSE,100
864,Munchies,Godrej Yummiez Chicken Punjabi Tikka ,29500,9,6,26600,360,FALSE,360
865,Munchies,Popular Essentials Rozana Sona Masuri Raw Rice,35000,10,5,31200,5000,FALSE,5
866,Munchies,24 Mantra Mustard Oil (Cold Pressed) ,35000,10,6,31200,1000,FALSE,1
867,Munchies,24 Mantra Organic Black Pepper,17000,7,6,15700,100,FALSE,100
868,Munchies,Popular Essentials Green Moong Whole,9000,16,3,7500,500,FALSE,500
869,Munchies,24 Mantra Organic Masoor Dal - Split,9500,7,6,8800,500,FALSE,500
870,Munchies,Praakritik Organic Natural Rock Salt,6000,6,3,5600,500,FALSE,500
871,Munchies,24 Mantra Sunflower Oil (Cold Pressed) Pet Bottle,39000,11,5,34700,1000,FALSE,1
872,Munchies,"Ching's Secret Instant Noodles, Hot Garlic",6000,0,4,6000,240,FALSE,240
873,Munchies,Saffola Everyday Peppy Tomato Masala Oats,19500,12,6,17100,500,FALSE,500
874,Munchies,Dabur 100% Pure Honey - Worlds No.1,43000,10,6,38700,1000,FALSE,1
875,Munchies,Popular Essentials Star Anise,7000,10,5,6300,25,FALSE,25
876,Munchies,Ching's Secret Chicken 65 Masala - Chicken,1000,0,5,1000,20,FALSE,20
877,Munchies,Cadbury Cocoa Powder,22300,5,6,21100,150,FALSE,150
878,Munchies,Praakritik Natural Desi Gir Cow A2 Ghee,145000,10,6,130500,540,FALSE,540
879,Munchies,Praakritik Organic Poha,12000,6,5,11200,500,FALSE,500
880,Munchies,Praakritik Organic Natural Wild Forest Honey,16000,6,4,15000,200,FALSE,200
881,Munchies,Popular Essentials Dry Dates (Kharak),14000,15,6,11800,250,FALSE,250
882,Munchies,Popular Essentials Kashmiri Red Rajma,9500,6,4,8900,500,FALSE,500
883,Munchies,Dabur Hommade - Garlic Paste,5000,6,6,4700,200,FALSE,200
884,Munchies,Dabur 100% Pure Honey,33000,10,1,29700,400,FALSE,400
885,Munchies,Ching's Schezwan Fried Rice(Miracle Masala),4400,0,5,4400,60,FALSE,60
886,Munchies,"""Maggi Magic Cubes, Vegetarian Masala""",3500,2,1,3400,40,FALSE,40
887,Munchies,Everest Tandoori Chicken Masala,7400,9,3,6700,100,FALSE,100
888,Munchies,Popular Essentials Red Poha,4500,4,6,4300,500,FALSE,500
889,Munchies,Everest Kitchen King Masala,14200,9,6,12800,200,FALSE,200
890,Munchies,Pillsbury Oven Cake Mix - Rich Chocolate,16500,10,5,14700,285,FALSE,285
891,Munchies,Eastern Super Garam Masala,7400,6,2,6900,200,FALSE,200
892,Munchies,Maggi Magic Cubes Extra Chicken,4000,2,6,3900,48,FALSE,48
893,Munchies,Satyam Nighties Spices  Chilli Kashmiri,10200,6,6,9500,100,FALSE,100
894,Munchies,Eastern Cumin Powder,4900,2,6,4800,100,FALSE,100
895,Munchies,Popular Essentials Urad Gola White(Un-Polished),9000,10,6,8100,500,FALSE,500
896,Munchies,24 Mantra Organic Chana Dal,9500,6,5,8900,500,FALSE,500
897,Munchies,Delight Nuts Cashew Roasted & Salted,42500,20,6,34000,200,FALSE,200
898,Munchies,Popular Essentials Mace/Javitri,9000,10,3,8100,20,FALSE,20
899,Munchies,Dlicia Whip Topping Bottle,23500,27,5,17100,1000,FALSE,1
900,Munchies,Mother's Recipe Paste Ginger & Garlic,7600,10,4,6800,300,FALSE,300
901,Munchies,24 Mantra Groundnut Oil (Cold Pressed) Pet Bottle,41000,10,6,36900,1000,FALSE,1
902,Munchies,Satyam Pulses Masur Dal,8700,6,6,8100,500,FALSE,500
903,Munchies,Delight Nuts Pista Roasted & Salted,42500,20,6,34000,200,FALSE,200
904,Munchies,"Top Ramen Noodles, Atta",8000,0,1,8000,280,FALSE,280
905,Munchies,Hershey's Cocoa Powder,9500,0,5,9500,70,FALSE,70
906,Munchies,Praakritik Organic Singhara Atta,24000,6,4,22500,500,FALSE,500
907,Munchies,Gits Veg Biryani Ready to Eat,11000,10,6,9900,265,FALSE,265
908,Munchies,Delight Nuts Cranberries Sliced ,29900,20,6,23900,200,FALSE,200
909,Munchies,Borges Durum Wheat Pasta Superior Quality,25000,40,6,14900,500,FALSE,500
910,Munchies,Ceres Foods Laal Maas Instant Liquid Masala,22000,50,5,11000,200,FALSE,200
911,Munchies,Popular Essentials Sattu Atta,9000,12,3,7900,500,FALSE,500
912,Munchies,Popular Essentials Mustard Seeds Rai Yellow,2500,0,5,2500,100,FALSE,100
913,Munchies,Praakritik Organic Extra Virgin Coconut Oil,15000,10,5,13400,100,FALSE,100
914,Munchies,Praakritik Organic Garlic Powder,11000,1,5,10800,100,FALSE,100
915,Munchies,Sugarfree Gold Low Calorie Sweetner ,12500,5,6,11800,100,FALSE,100
916,Munchies,Aashirvaad Breakfast Instant Mix - Rice Idli,7500,30,6,5200,200,FALSE,200
917,Munchies,Kitchens Of India Mutter Paneer,13000,4,6,12400,285,FALSE,285
918,Munchies,Ching's Secret Veg Manchurian Masala,4400,0,6,4400,60,FALSE,60
919,Munchies,Popular Essentials Jowa Flour,5000,2,5,4900,500,FALSE,500
920,Munchies,Everest Shahi Biryani Masala,24500,0,6,24500,200,FALSE,200
921,Munchies,Popular Essentials Black Til,5000,6,4,4700,100,FALSE,100
922,Munchies,Popular Essentials Pancharatna Dal,8000,10,6,7200,500,FALSE,500
923,Munchies,Saffola 100% Pure Honey,47500,8,2,43700,1000,FALSE,750
924,Munchies,Popular Essentials Tamarind,15000,14,6,12800,500,FALSE,500
925,Munchies,Gits Rice Dosa Instant Breakfast Mix,6000,5,5,5700,200,FALSE,200
926,Munchies,Popular Essentials Poppy Seeds (Gasagase),28000,7,6,26000,100,FALSE,100
927,Munchies,Hershey's Hot Chocolate Powder,21000,0,4,21000,250,FALSE,250
928,Munchies,Borges Farfalle Durum Wheat Pasta ,25000,0,5,25000,500,FALSE,500
929,Munchies,Satyam Chilli  Bedgi,8200,10,5,7300,100,FALSE,100
930,Munchies,Aashirvaad Instant Mix - Rice Dosa,7500,30,6,5200,200,FALSE,200
